ds,yhat,yhat_lower,yhat_upper
2017-12-31,2164.826751282203,126.73311521257172,36722.48794408754
2018-01-01,1186.2039640500186,68.75108890347789,20205.899625703198
2018-01-02,1104.5522857951182,63.905049772380416,18830.29064553808
2018-01-03,892.4338437257646,51.414576083585935,15228.04681784814
2018-01-04,805.275514776252,46.267694046267515,13752.160987531686
2018-01-05,1150.1400666587224,66.43734279752042,19648.69849191287
2018-01-06,1028.1493981033034,59.24792786556742,17578.832554236455
2018-01-07,1029.5023903385027,58.83532558399145,17746.629283018083
2018-01-08,1191.3393805951118,68.17023356403152,20552.251380911977
2018-01-09,1169.8672116759094,66.8720970426816,20197.72800623215
2018-01-10,1006.4316259154074,57.352285568724966,17391.9516385306
2018-01-11,811.842514995456,46.04435312160136,14043.468896751781
2018-01-12,1147.9504668201948,65.44483958235242,19866.414587858442
2018-01-13,1092.0793486790733,62.164140890500356,18915.151564223444
2018-01-14,1036.8180840800055,58.88504607183241,17984.564782759735
2018-01-15,1200.5736452192002,68.27776020330275,20839.44317611362
2018-01-16,1181.9479788102635,67.15048131750895,20532.470835689728
2018-01-17,1019.8958833186797,57.76772318505245,17733.70789901414
2018-01-18,818.287077773005,46.124607910484556,14242.753859573017
2018-01-19,1156.502764923808,65.52547387878276,20138.843772440556
2018-01-20,1103.5096035538063,62.42928635625726,19232.094591205954
2018-01-21,1044.9941996124828,58.99355272921073,18236.024077592938
2018-01-22,1210.0771344355887,68.40520721357206,21131.53290980601
2018-01-23,1191.450227236941,67.28356549251353,20823.00844451115
2018-01-24,1028.2453089214177,57.8905760611751,17987.377373593758
2018-01-25,824.7742183937846,46.21057640637967,14442.862195076239
2018-01-26,1165.6409412687115,65.6448105819483,20421.461613432886
2018-01-27,1112.3891466409252,62.551725312254405,19504.928214647134
2018-01-28,1053.2738892693415,59.1019846747095,18492.45640765193
2018-01-29,1219.665362444256,68.53026337308249,21428.861685926036
2018-01-30,1200.8980573364952,67.40635400849422,21116.321061284245
2018-01-31,1036.4072698922162,57.99646697645625,18241.004967089073
2018-02-01,831.3123119857778,46.29454430087097,14646.435447863145
2018-02-02,1174.876552253771,65.76279830172712,20709.42109246709
2018-02-03,1121.2109293225863,62.664226528109594,19780.24040091839
2018-02-04,1061.6210139989073,59.20753804818326,18753.519051890344
2018-02-05,1229.329965049431,68.65187981541523,21731.533664705512
2018-02-06,1210.4144125312612,67.52537750952565,21414.78685479641
2018-02-07,1044.6215735826493,58.09872286123048,18498.967887778006
2018-02-08,837.9021511724687,46.37615731382794,14853.66232687442
2018-02-09,1184.1865007556466,65.87753408624891,21002.571091031543
2018-02-10,1130.0963572475835,62.77321160792859,20060.385292060382
2018-02-11,1070.0343182004844,59.31008170950978,19019.277841578485
2018-02-12,1239.0711094695175,68.77001057964176,22039.649610990156
2018-02-13,1220.0058095412721,67.6409548880442,21718.616071267883
2018-02-14,1052.9003194915028,58.19798921691154,18761.560994335057
2018-02-15,844.5441644951479,46.45540166226972,15064.617591858423
2018-02-16,1193.570219642064,65.9889310454619,21300.997022273106
